Arrival Time
4/5/20 13:05
4/5/20 13:05
4/5/20 13:05
4/5/20 13:05
4/5/20 13:05
4/5/20 13:06
4/5/20 13:06
4/5/20 13:09
4/5/20 13:09
4/5/20 13:10
4/5/20 13:10
4/5/20 13:13
4/5/20 13:13
4/5/20 13:15
4/5/20 13:15
4/5/20 13:15
4/5/20 13:15
4/5/20 13:15
4/5/20 13:15
4/5/20 13:15
4/5/20 13:15
4/5/20 13:15
4/5/20 13:15
4/5/20 13:15
4/5/20 13:15
4/5/20 13:15
4/5/20 13:18
4/5/20 13:18
4/5/20 13:18
4/5/20 13:18
4/5/20 13:18
4/5/20 13:18
4/5/20 13:20
4/5/20 13:24
4/5/20 13:24
4/5/20 13:25
4/5/20 13:26
4/5/20 13:28
4/5/20 13:28
4/5/20 13:28
4/5/20 13:28
4/5/20 13:29
4/5/20 13:29
4/5/20 13:29
4/5/20 13:29
4/5/20 13:29
4/5/20 13:31
4/5/20 13:31
4/5/20 13:31
4/5/20 13:31
4/5/20 13:32
4/5/20 13:32
4/5/20 13:32
4/5/20 13:32
4/5/20 13:32
4/5/20 13:32
4/5/20 13:34
4/5/20 13:34
4/5/20 13:36
4/5/20 13:36
4/5/20 13:40
4/5/20 13:40
4/5/20 13:40
4/5/20 13:40
4/5/20 13:44
4/5/20 13:44
4/5/20 13:44
4/5/20 13:44
4/5/20 13:45
4/5/20 13:51
4/5/20 13:55
4/5/20 13:56
4/5/20 13:56
4/5/20 13:57
4/5/20 13:57
4/5/20 13:57
4/5/20 14:07
4/5/20 14:07
4/5/20 14:08
4/5/20 14:08
4/5/20 14:08
4/5/20 14:14
4/5/20 14:20
4/5/20 14:20
4/5/20 14:25
4/5/20 14:25
4/5/20 14:27
4/5/20 14:27
4/5/20 14:27
4/5/20 14:27
4/5/20 14:31
4/5/20 14:34
4/5/20 14:34
4/5/20 14:34
4/5/20 14:34
4/5/20 14:34
4/5/20 14:35
4/5/20 14:35
4/5/20 14:37
4/5/20 14:37
4/5/20 14:40
4/5/20 14:40
4/5/20 14:40
4/5/20 14:42
4/5/20 14:42
4/5/20 14:45
4/5/20 14:45
4/5/20 14:45
4/5/20 14:45
4/5/20 14:45
4/5/20 14:45
4/5/20 14:45
4/5/20 14:49
4/5/20 14:49
4/5/20 14:52
4/5/20 14:52
4/5/20 14:56
4/5/20 14:56
4/5/20 14:58
4/5/20 14:58
4/5/20 14:59
4/5/20 14:59
4/5/20 15:00
4/5/20 15:01
4/5/20 15:03
4/5/20 15:15
4/5/20 15:15
4/5/20 15:15
4/5/20 15:15
4/5/20 15:20
4/5/20 15:20
4/5/20 15:27
4/5/20 15:27
4/5/20 15:28
4/5/20 15:28
4/5/20 15:28
4/5/20 15:33
4/5/20 15:33
4/5/20 15:34
4/5/20 15:36
4/5/20 15:36
4/5/20 15:36
4/5/20 15:36
4/5/20 15:36
4/5/20 15:36
4/5/20 15:38
4/5/20 15:38
4/5/20 15:39
4/5/20 15:39
4/5/20 15:39
4/5/20 15:39
4/5/20 15:42
4/5/20 15:42
4/5/20 15:44
4/5/20 15:44
4/5/20 15:45
4/5/20 15:45
4/5/20 15:49
4/5/20 15:49
4/5/20 15:49
4/5/20 16:01
4/5/20 16:01
4/5/20 16:04
4/5/20 16:04
4/5/20 16:04
4/5/20 16:05
4/5/20 16:05
4/5/20 16:05
4/5/20 16:05
4/5/20 16:06
4/5/20 16:06
4/5/20 16:06
4/5/20 16:06
4/5/20 16:07
4/5/20 16:11
4/5/20 16:11
4/5/20 16:12
4/5/20 16:12
4/5/20 16:13
4/5/20 16:13
4/5/20 16:15
4/5/20 16:15
4/5/20 16:15
4/5/20 16:15
4/5/20 16:15
4/5/20 16:18
4/5/20 16:19
4/5/20 16:19
4/5/20 16:24
4/5/20 16:24
4/5/20 16:26
4/5/20 16:26
4/5/20 16:28
4/5/20 16:29
4/5/20 16:29
4/5/20 16:30
4/5/20 16:30
4/5/20 16:30
4/5/20 16:30
4/5/20 16:30
4/5/20 16:30
4/5/20 16:34
4/5/20 16:34
4/5/20 16:35
4/5/20 16:35
4/5/20 16:36
4/5/20 16:36
4/5/20 16:40
4/5/20 16:40
4/5/20 16:44
4/5/20 16:44
4/5/20 16:44
4/5/20 16:47
4/5/20 16:47
4/5/20 16:47
4/5/20 16:47
4/5/20 16:47
4/5/20 16:47
4/5/20 16:47
4/5/20 16:47
4/5/20 16:47
4/5/20 16:47
4/5/20 16:47
4/5/20 16:47
4/5/20 16:47
4/5/20 16:48
4/5/20 16:48
4/5/20 16:48
4/5/20 16:48
4/5/20 16:48
4/5/20 16:49
4/5/20 16:49
4/5/20 16:49
4/5/20 16:49
4/5/20 16:50
4/5/20 16:50
4/5/20 16:51
4/5/20 16:51
4/5/20 16:51
4/5/20 16:51
4/5/20 16:54
4/5/20 16:54
4/5/20 16:54
4/5/20 16:56
4/5/20 16:57
4/5/20 16:57
4/5/20 17:01
4/5/20 17:02
4/5/20 17:02
4/5/20 17:03
4/5/20 17:03
4/5/20 17:03
4/5/20 17:03
4/5/20 17:03
4/5/20 17:03
4/5/20 17:04
4/5/20 17:04
4/5/20 17:05
4/5/20 17:05
4/5/20 17:05
4/5/20 17:05
4/5/20 17:06
4/5/20 17:06
4/5/20 17:06
4/5/20 17:06
4/5/20 17:08
4/5/20 17:10
4/5/20 17:10
4/5/20 17:11
4/5/20 17:14
4/5/20 17:14
4/5/20 17:16
4/5/20 17:16
4/5/20 17:16
4/5/20 17:17
4/5/20 17:17
4/5/20 17:17
4/5/20 17:22
4/5/20 17:22
4/5/20 17:23
4/5/20 17:23
4/5/20 17:23
4/5/20 17:23
4/5/20 17:27
4/5/20 17:27
4/5/20 17:27
4/5/20 17:27
4/5/20 17:27
4/5/20 17:27
4/5/20 17:29
4/5/20 17:29
4/5/20 17:29
4/5/20 17:30
4/5/20 17:32
4/5/20 17:32
4/5/20 17:32
4/5/20 17:32
4/5/20 17:38
4/5/20 17:41
4/5/20 17:43
4/5/20 17:43
4/5/20 17:44
4/5/20 17:44
4/5/20 17:45
4/5/20 17:45
4/5/20 17:45
4/5/20 17:45
4/5/20 17:46
4/5/20 17:46
4/5/20 17:46
4/5/20 17:46
4/5/20 17:49
4/5/20 17:52
4/5/20 17:52
4/5/20 17:55
4/5/20 17:56
4/5/20 17:56
4/5/20 17:56
4/5/20 17:56
4/5/20 17:56
4/5/20 17:56
4/5/20 17:58
4/5/20 17:59
4/5/20 17:59
4/5/20 17:59
4/5/20 18:02
4/5/20 18:02
4/5/20 18:02
4/5/20 18:02
4/5/20 18:02
4/5/20 18:03
4/5/20 18:03
4/5/20 18:04
4/5/20 18:04
4/5/20 18:05
4/5/20 18:05
4/5/20 18:05
4/5/20 18:06
4/5/20 18:06
4/5/20 18:07
4/5/20 18:07
4/5/20 18:07
4/5/20 18:07
4/5/20 18:09
4/5/20 18:09
4/5/20 18:11
4/5/20 18:11
4/5/20 18:12
4/5/20 18:12
4/5/20 18:13
4/5/20 18:14
4/5/20 18:14
4/5/20 18:15
4/5/20 18:15
4/5/20 18:15
4/5/20 18:15
4/5/20 18:15
4/5/20 18:15
4/5/20 18:15
4/5/20 18:16
4/5/20 18:16
4/5/20 18:17
4/5/20 18:17
4/5/20 18:17
4/5/20 18:17
4/5/20 18:18
4/5/20 18:18
4/5/20 18:20
4/5/20 18:20
4/5/20 18:20
4/5/20 18:20
4/5/20 18:20
4/5/20 18:20
4/5/20 18:20
4/5/20 18:20
4/5/20 18:21
4/5/20 18:21
4/5/20 18:21
4/5/20 18:21
4/5/20 18:21
4/5/20 18:23
4/5/20 18:25
4/5/20 18:25
4/5/20 18:27
4/5/20 18:27
4/5/20 18:27
4/5/20 18:28
4/5/20 18:28
4/5/20 18:29
4/5/20 18:29
4/5/20 18:29
4/5/20 18:29
4/5/20 18:29
4/5/20 18:29
4/5/20 18:29
4/5/20 18:30
4/5/20 18:30
4/5/20 18:30
4/5/20 18:31
4/5/20 18:31
4/5/20 18:32
4/5/20 18:32
4/5/20 18:33
4/5/20 18:33
4/5/20 18:33
4/5/20 18:33
4/5/20 18:33
4/5/20 18:34
4/5/20 18:34
4/5/20 18:34
4/5/20 18:35
4/5/20 18:35
4/5/20 18:35
4/5/20 18:35
4/5/20 18:35
4/5/20 18:36
4/5/20 18:36
4/5/20 18:36
4/5/20 18:37
4/5/20 18:37
4/5/20 18:37
4/5/20 18:38
4/5/20 18:38
4/5/20 18:38
4/5/20 18:38
4/5/20 18:38
4/5/20 18:39
4/5/20 18:39
4/5/20 18:39
4/5/20 18:39
4/5/20 18:39
4/5/20 18:40
4/5/20 18:41
4/5/20 18:41
4/5/20 18:41
4/5/20 18:41
4/5/20 18:41
4/5/20 18:41
4/5/20 18:41
4/5/20 18:41
4/5/20 18:41
4/5/20 18:41
4/5/20 18:41
4/5/20 18:42
4/5/20 18:43
4/5/20 18:43
4/5/20 18:46
4/5/20 18:46
4/5/20 18:46
4/5/20 18:46
4/5/20 18:46
4/5/20 18:46
4/5/20 18:46
4/5/20 18:46
4/5/20 18:46
4/5/20 18:47
4/5/20 18:47
4/5/20 18:48
4/5/20 18:51
4/5/20 18:51
4/5/20 18:51
4/5/20 18:52
4/5/20 18:52
4/5/20 18:52
4/5/20 18:54
4/5/20 18:54
4/5/20 18:54
4/5/20 18:55
4/5/20 18:55
4/5/20 18:58
4/5/20 18:58
4/5/20 18:58
4/5/20 18:58
4/5/20 18:58
4/5/20 18:58
4/5/20 18:58
4/5/20 18:58
4/5/20 18:59
4/5/20 18:59
4/5/20 19:00
4/5/20 19:00
4/5/20 19:00
4/5/20 19:00
4/5/20 19:00
4/5/20 19:01
4/5/20 19:02
4/5/20 19:02
4/5/20 19:02
4/5/20 19:02
4/5/20 19:03
4/5/20 19:03
4/5/20 19:03
4/5/20 19:03
4/5/20 19:04
4/5/20 19:04
4/5/20 19:04
4/5/20 19:04
4/5/20 19:09
4/5/20 19:09
4/5/20 19:11
4/5/20 19:11
4/5/20 19:13
4/5/20 19:13
4/5/20 19:13
4/5/20 19:14
4/5/20 19:14
4/5/20 19:15
4/5/20 19:15
4/5/20 19:16
4/5/20 19:16
4/5/20 19:16
4/5/20 19:16
4/5/20 19:18
4/5/20 19:18
4/5/20 19:20
4/5/20 19:20
4/5/20 19:20
4/5/20 19:20
4/5/20 19:20
4/5/20 19:22
4/5/20 19:23
4/5/20 19:23
4/5/20 19:25
4/5/20 19:25
4/5/20 19:25
4/5/20 19:26
4/5/20 19:27
4/5/20 19:28
4/5/20 19:29
4/5/20 19:29
4/5/20 19:29
4/5/20 19:29
4/5/20 19:29
4/5/20 19:30
4/5/20 19:30
4/5/20 19:31
4/5/20 19:31
4/5/20 19:32
4/5/20 19:33
4/5/20 19:33
4/5/20 19:33
4/5/20 19:33
4/5/20 19:33
4/5/20 19:33
4/5/20 19:33
4/5/20 19:34
4/5/20 19:34
4/5/20 19:34
4/5/20 19:34
4/5/20 19:36
4/5/20 19:36
4/5/20 19:36
4/5/20 19:36
4/5/20 19:36
4/5/20 19:37
4/5/20 19:37
4/5/20 19:38
4/5/20 19:38
4/5/20 19:38
4/5/20 19:38
4/5/20 19:40
4/5/20 19:40
4/5/20 19:40
4/5/20 19:40
4/5/20 19:40
4/5/20 19:41
4/5/20 19:41
4/5/20 19:41
4/5/20 19:41
4/5/20 19:41
4/5/20 19:41
4/5/20 19:42
4/5/20 19:42
4/5/20 19:42
4/5/20 19:42
4/5/20 19:42
4/5/20 19:42
4/5/20 19:42
4/5/20 19:43
4/5/20 19:43
4/5/20 19:43
4/5/20 19:44
4/5/20 19:44
4/5/20 19:44
4/5/20 19:44
4/5/20 19:44
4/5/20 19:49
4/5/20 19:49
4/5/20 19:49
4/5/20 19:49
4/5/20 19:49
4/5/20 19:49
4/5/20 19:49
4/5/20 19:49
4/5/20 19:49
4/5/20 19:49
4/5/20 19:49
4/5/20 19:50
4/5/20 19:51
4/5/20 19:51
4/5/20 19:51
4/5/20 19:51
4/5/20 19:51
4/5/20 19:51
4/5/20 19:53
4/5/20 19:53
4/5/20 19:54
4/5/20 19:55
4/5/20 19:56
4/5/20 19:56
4/5/20 19:56
4/5/20 19:56
4/5/20 19:56
4/5/20 19:56
4/5/20 19:56
4/5/20 19:56
4/5/20 19:56
4/5/20 19:56
4/5/20 19:57
4/5/20 19:57
4/5/20 19:57
4/5/20 19:59
4/5/20 20:03
4/5/20 20:03
4/5/20 20:03
4/5/20 20:03
4/5/20 20:03
4/5/20 20:03
4/5/20 20:06
4/5/20 20:06
4/5/20 20:06
4/5/20 20:06
4/5/20 20:08
4/5/20 20:10
4/5/20 20:10
4/5/20 20:10
4/5/20 20:10
4/5/20 20:12
4/5/20 20:12
4/5/20 20:12
4/5/20 20:12
4/5/20 20:12
4/5/20 20:12
4/5/20 20:12
4/5/20 20:12
4/5/20 20:12
4/5/20 20:12
4/5/20 20:12
4/5/20 20:12
4/5/20 20:12
4/5/20 20:13
4/5/20 20:13
4/5/20 20:14
4/5/20 20:14
4/5/20 20:18
4/5/20 20:18
4/5/20 20:18
4/5/20 20:18
4/5/20 20:20
4/5/20 20:20
4/5/20 20:22
4/5/20 20:23
4/5/20 20:23
4/5/20 20:23
4/5/20 20:24
4/5/20 20:24
4/5/20 20:24
4/5/20 20:24
4/5/20 20:24
4/5/20 20:26
4/5/20 20:26
4/5/20 20:26
4/5/20 20:27
4/5/20 20:30
4/5/20 20:30
4/5/20 20:30
4/5/20 20:30
4/5/20 20:33
4/5/20 20:36
4/5/20 20:36
4/5/20 20:37
4/5/20 20:37
4/5/20 20:38
4/5/20 20:38
4/5/20 20:41
4/5/20 20:41
4/5/20 20:41
4/5/20 20:42
4/5/20 20:42
4/5/20 20:42
4/5/20 20:43
4/5/20 20:43
4/5/20 20:43
4/5/20 20:43
4/5/20 20:47
4/5/20 20:47
4/5/20 20:51
4/5/20 20:53
4/5/20 20:53
4/5/20 20:53
4/5/20 20:53
4/5/20 20:53
4/5/20 20:54
4/5/20 20:54
4/5/20 20:55
4/5/20 20:56
4/5/20 21:00
4/5/20 21:00
4/5/20 21:01
4/5/20 21:01
4/5/20 21:01
4/5/20 21:01
4/5/20 21:01
4/5/20 21:01
4/5/20 21:05
4/5/20 21:05
4/5/20 21:10
4/5/20 21:10
4/5/20 21:15
4/5/20 21:15
4/5/20 21:15
4/5/20 21:15
4/5/20 21:19
4/5/20 21:25
4/5/20 21:30
4/5/20 21:32
4/5/20 21:38
4/5/20 21:40
4/5/20 21:40
4/5/20 21:42
4/5/20 21:42
4/5/20 21:42
4/5/20 21:42
4/5/20 21:44
4/5/20 21:46
4/5/20 21:49
4/5/20 21:49
4/5/20 21:55
4/5/20 21:55
4/5/20 21:57
4/5/20 21:57
